UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode,CLEANBREED,,,,,,
76,March 16 2015,DOG,PIT BULL MIX,2,M,TRUE,Brooklyn,11234,PIT BULL MIX,,,,,,
77,March 16 2015,DOG,Pit Bull,,F,TRUE,Brooklyn,11223,PIT BULL,,,,,,
78,March 17 2015,DOG,"Collie, Border",,U,FALSE,Brooklyn,,"COLLIE, BORDER",,,,,,
79,March 09 2015,DOG,Miniature Pinscher,,M,FALSE,Brooklyn,11235,MINIATURE PINSCHER,,,,,,
80,March 22 2015,DOG,Shih Tzu,2,M,FALSE,Brooklyn,11223,SHIH TZU,,,,,,
81,March 21 2015,DOG,Doberman Pinscher,8,F,FALSE,Brooklyn,11204,DOBERMAN PINSCHER,,,,,,
82,March 22 2015,DOG,Shih Tzu,7,M,TRUE,Brooklyn,11208,SHIH TZU,,,,,,
83,March 22 2015,DOG,German Shepherd,,U,FALSE,Brooklyn,11217,GERMAN SHEPHERD,,,,,,
84,March 21 2015,DOG,"Bull Dog, French",6,M,TRUE,Brooklyn,11217,"BULL DOG, FRENCH",,,,,,
85,February 02 2015,DOG,Pekingese,4,M,FALSE,Brooklyn,11238,PEKINGESE,,,,,,
86,March 15 2015,DOG,Chihuahua,6,M,FALSE,Brooklyn,11221,CHIHUAHUA,,,,,,
87,March 25 2015,DOG,TERRIER,5,M,FALSE,Brooklyn,11027,TERRIER,,,,,,
88,March 29 2015,DOG,Pit Bull,1,M,FALSE,Brooklyn,11224,PIT BULL,,,,,,
89,March 20 2015,DOG,BEAGLE MIX,10 M,M,TRUE,Brooklyn,11235,BEAGLE MIX,,,,,,
90,March 27 2015,DOG,TERRIER,,U,FALSE,Brooklyn,11215,TERRIER,,,,,,
91,March 28 2015,DOG,"Dachshund, Long Haired Miniature",4,M,TRUE,Brooklyn,11234,"DACHSHUND, LONG HAIRED MINIATURE",,,,,,
92,March 29 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11217,PIT BULL,,,,,,
93,March 24 2015,DOG,PIT BULL MIX,8,M,TRUE,Brooklyn,11231,PIT BULL MIX,,,,,,
94,March 31 2015,DOG,Cocker Spaniel,3,F,FALSE,Brooklyn,,COCKER SPANIEL,,,,,,
95,April 03 2015,DOG,Yorkshire Terrier,6,M,TRUE,Brooklyn,11233,YORKSHIRE TERRIER,,,,,,
96,April 02 2015,DOG,Chihuahua,,U,FALSE,Brooklyn,,CHIHUAHUA,,,,,,
97,April 06 2015,DOG,Bull dog,8M,M,FALSE,Brooklyn,11213,BULL DOG,,,,,,
98,April 06 2015,DOG,American Staffordshire Terrier,,U,FALSE,Brooklyn,11224,AMERICAN STAFFORDSHIRE TERRIER,,,,,,
99,April 06 2015,DOG,Pit Bull,4,F,TRUE,Brooklyn,11212,PIT BULL,,,,,,
100,March 31 2015,DOG,PIT BULL MIX,5,F,TRUE,Brooklyn,,PIT BULL MIX,,,,,,
101,March 27 2015,DOG,BOXER MIX,5,F,FALSE,Brooklyn,11214,BOXER MIX,,,,,,
102,April 06 2015,DOG,CHIHUAHUA MIX,4M,M,FALSE,Brooklyn,11205,CHIHUAHUA MIX,,,,,,
103,April 06 2015,DOG,"Poodle, Standard",2,M,FALSE,Brooklyn,11213,"POODLE, STANDARD",,,,,,
104,April 07 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11231,PIT BULL,,,,,,
105,April 01 2015,DOG,Bull Terrier,1,M,FALSE,Brooklyn,11201,BULL TERRIER,,,,,,
106,April 08 2015,DOG,CATAHOULA LEOPARD DOG,1,M,TRUE,Brooklyn,11235,CATAHOULA LEOPARD DOG,,,,,,
107,April 06 2015,DOG,Yorkshire Terrier,6,F,FALSE,Brooklyn,11219,YORKSHIRE TERRIER,,,,,,
108,April 10 2015,DOG,Cocker Spaniel MIX,5,M,TRUE,Brooklyn,11206,COCKER SPANIEL MIX,,,,,,
109,April 03 2015,DOG,PIT BULL MIX,6,F,TRUE,Brooklyn,11216,PIT BULL MIX,,,,,,
110,April 12 2015,DOG,German Shepherd,11,F,TRUE,Brooklyn,11209,GERMAN SHEPHERD,,,,,,
111,April 10 2015,DOG,"Bull Dog, English",9M,M,FALSE,Brooklyn,11220,"BULL DOG, ENGLISH",,,,,,
112,April 10 2015,DOG,Pit Bull,6M,M,FALSE,Brooklyn,11224,PIT BULL,,,,,,
113,April 12 2015,DOG,Chihuahua,9,F,TRUE,Brooklyn,11224,CHIHUAHUA,,,,,,
114,April 13 2015,DOG,Pit Bull,9,M,FALSE,Brooklyn,11207,PIT BULL,,,,,,
